Symbol,Sharpe,Beta,MaxDrawdown,Sortino,MeanDailyReturnPct
NVDA,0.45013143773637726,1.6623932701214545,-0.8972556894243642,0.5992211410760249,0.11386913289288805
AAPL,0.47751700949325543,1.153753708540951,-0.8180052819636476,0.5582873321188916,0.08404057780749336
AMZN,0.28418659612487585,1.2571394575560622,-0.9332035445757251,0.37941819537299626,0.06290940933916088
LRCX,0.21455307225968975,1.5795128339411217,-0.8790562064683333,0.29725374174918456,0.04995950725683019
SBUX,0.34546817409917835,1.0306226591242635,-0.8190764572293717,0.4749270949682523,0.05389928380113851
REGN,0.22010630473881868,1.1335907379427748,-0.9180530973451327,0.29337236897500557,0.057909073316145004
KLAC,0.1936973230360717,1.458010647146019,-0.8441051956382296,0.2599767317116559,0.04299161929485783
BKNG,0.1640404914740322,1.2695379823881883,-0.9885342019543973,0.1874620256970161,0.046202522608480276
AMD,0.10358348783585897,1.6156086760264714,-0.9658947368421053,0.14118459937625805,0.03320756828486825
VRTX,0.20616629690723745,1.0962576163693614,-0.9177377892030848,0.28138194675061023,0.05082753987707001
MAR,0.2786645636364958,1.1384580414676004,-0.7592050295735616,0.3706950799849336,0.04524288711350453
CDNS,0.19568675695748397,1.2312346285536386,-0.9192263056092843,0.2323897722412736,0.03984130599977455
CAT,0.2736511041571749,1.1110597873923995,-0.7451138192687974,0.3783483763963782,0.042763888649454775
INTU,0.27180097698613204,1.133532832771733,-0.7246684287812042,0.3353214191873746,0.05062341213539786
GILD,0.37473233925159305,0.8359225367474884,-0.5364536453645364,0.502441253897408,0.06514361317106597
MU,0.040952503050891695,1.637371409696294,-0.9824983818770227,0.05683969370666498,0.017013374759537903
EBAY,0.18274071657878682,1.1365892114662903,-0.825591529745957,0.24035424190695262,0.03860326608141632
AXP,0.14514193400211642,1.3609850003073671,-0.8434782608695652,0.1868277658149417,0.0284276658979704
AMAT,0.10681820526471343,1.4599791062665926,-0.8582807399347117,0.15043502660826105,0.026514254288000534
COST,0.3714293081817516,0.7854896840933236,-0.5338609625668449,0.46883126859729335,0.0481961911505515
MSFT,0.20599990874654217,1.0948684778767592,-0.7404710920770878,0.2705805058702088,0.03268329374830794
ORCL,0.1389016222773199,1.182704013432558,-0.8419433198380567,0.179664307450193,0.02875260604116493
ADI,0.10670150514356733,1.307463751246681,-0.8411837237977805,0.14693643349672017,0.02515408564849432
MS,0.009047470357852777,1.721475479265786,-0.9158857142857143,0.011612179553351608,0.009586088822444164
NKE,0.2294334193630345,0.9065224109045381,-0.6999042307475635,0.2959285793225665,0.03627267222280722
TXN,0.0950686450065252,1.2239456766275338,-0.8589740173217855,0.1307657566585837,0.022176525046220648
MCHP,0.12913934902615934,1.3759962320917982,-0.6447884209468288,0.17437161437527482,0.030104470328554143
MCD,0.2590772624103356,0.5920469935668817,-0.7104093567251462,0.34120080226204286,0.03145550617955048
ADP,0.23286114826915108,0.853013249963751,-0.6043557301688138,0.2879131824560152,0.031088822111819223
ORLY,0.10178681323147978,0.7858671958033152,-0.9376697945058222,0.07786988749844692,0.03320854853407279
DIS,0.11719057340574074,1.0508392316241622,-0.6843556920817639,0.1578180001412723,0.022209672880507958
QCOM,0.008044733923764128,1.2771219102726594,-0.8675495950084879,0.010625288556566933,0.0092806959345875
HON,0.11903535049266174,1.0638908143224142,-0.6793318501129934,0.15214700169550957,0.022072987843388747
MMM,0.12306369387052632,0.8286130178917667,-0.669025248120426,0.16412827408775607,0.02000462633476263
CSCO,-0.03547013254974342,1.2056993536961569,-0.892583918813427,-0.04480176415193693,0.002828539443126862
AMGN,0.1384311559886624,0.7949631053779181,-0.6016666666666667,0.194149599406493,0.02470256632003345
GE,-0.06086952474326565,1.1551674622812291,-0.9048399874524511,-0.08031385916078745,-0.00010719429619984288
XOM,0.07308870107055343,0.8379699423880312,-0.6986970684039088,0.0992023084329315,0.015600922385362547
CVX,0.0993118825319907,0.897128673764532,-0.5979236188357434,0.12756045390337972,0.01885879155985107
CMCSA,0.03488161313269079,1.0175760580274902,-0.6728061682744462,0.04620232888810723,0.012353471937048553
IBM,0.07488410224814836,0.8479427091775754,-0.5878765011906197,0.09713618689671472,0.01569313124289432
INTC,-0.1202031384195912,1.2833396498845606,-0.8386644407345576,-0.15244737765328983,-0.010754923182064011
WMT,0.15388580505494423,0.6055412309399956,-0.38849998047019096,0.2069924076486101,0.022268433616953586
PEP,0.15683944744684072,0.5166239308509827,-0.4242805077290436,0.20627572405554467,0.020382862860107324
PG,0.10672005992433614,0.5079849107232809,-0.5445859872611465,0.12280486905100052,0.016954649910195983
MRK,-0.04187425686939317,0.6532856842581862,-0.7787618635230908,-0.05170114250388423,0.003522662577137015
JNJ,0.14221670847414156,0.5042416495774791,-0.3609711406321575,0.18495245982880892,0.018799253836748797
KO,0.07641738469476186,0.5258031612424751,-0.4456822429906542,0.0991328825237734,0.014159102313650366
PFE,-0.11462367877015142,0.6877896663057442,-0.7620414028083701,-0.1589721186335524,-0.003576585569319826
T,-0.11689458161871943,0.7143657547754106,-0.695593231079818,-0.15396442163633187,-0.004090832526303571
