Symbol,mse,rmse,mae,r2
AAPL,0.01036105036305065,0.10026764677079966,0.07839733799519508,0.5872058231390176
ADI,0.009305338387313884,0.09613923155409276,0.07579067220753578,0.5762973059088462
AMAT,0.014696614944573205,0.12052843625401218,0.09385870547434906,0.6370062903711678
AMD,0.02018761603923246,0.14151745710087965,0.10999925723877133,0.6235906481178158
AMZN,0.012136272226183716,0.10683506418960036,0.08482895476045567,0.6038133699762931
AXP,0.010571784244464057,0.10167768547418576,0.07860838227501567,0.5753755569198764
BKNG,0.011206270557635428,0.10446143782518383,0.08069662462806468,0.6527226509799109
CAT,0.009175255091874269,0.09517242271347368,0.075409873902722,0.6815106977420997
CDNS,0.013314262447298797,0.11371960492522182,0.08901136889489444,0.5725891822717368
COST,0.0070600706817443735,0.0829848484051258,0.06680633252499404,0.5094894244955844
EBAY,0.009720797654861255,0.09708494633283761,0.07691686288518491,0.6647335313897396
GILD,0.005789002602152133,0.07528866944867137,0.05766544017512517,0.6354622397079057
INTU,0.01201906146914987,0.10757001981333883,0.08600133737056367,0.5834141484373537
KLAC,0.015004922944327223,0.12199303079350428,0.09486891812424744,0.6079870302993091
LRCX,0.01667238178249183,0.12837199508917285,0.10084701813848782,0.6104707250626534
MAR,0.010602661942733089,0.1002300199131757,0.07765477623327237,0.640778876369134
MS,0.009900305000818715,0.09894267800892739,0.07754587515760557,0.6555226067761618
MSFT,0.008576538091183908,0.09103543195157646,0.07248384312915422,0.5838718803767772
MU,0.015802844946440565,0.12494352782702349,0.09697207730205529,0.6300127609444077
NKE,0.010883461668317818,0.10323014314557807,0.07913462514150112,0.6392146964293671
NVDA,0.021191011048280185,0.14392350409489263,0.1155322674094889,0.5775197402623529
ORCL,0.010020613315340487,0.09918316841708753,0.0750261519829883,0.6205346247876599
REGN,0.009209609311459602,0.09534374666966619,0.07380429816227763,0.6434652870074901
SBUX,0.009149471003822207,0.09450350630429652,0.07219093389362291,0.5749642965961032
VRTX,0.009720545557221155,0.09683607762678845,0.07307251920566746,0.5675291075655833
