Variable Objetivo;Capital inicial $;Capital final $;Capital ganado $;ROI %;Max DD $;Max DD %;% Ganadores;Expectancy $;Payoff ratio;CAGR %;Trades;Símbolos
XGB-W5H8;250.000;721.365;471.365;188,55%;96.377;12,85%;62,65%;83;0,76;23,62%;5.681;25
XGB-W5H15;250.000;711.026;461.026;184,41%;116.914;14,78%;61,97%;69;0,74;23,27%;6.724;25
XGB-W15H15;250.000;710.819;460.819;184,33%;82.401;11,10%;63,32%;95;0,75;23,26%;4.855;25
XGB-W10H15;250.000;705.554;455.554;182,22%;99.436;12,98%;62,89%;97;0,77;23,08%;4.713;25
XGB-W5H12;250.000;692.013;442.013;176,81%;91.721;12,24%;62,29%;71;0,75;22,60%;6.248;25
XGB-W10H12;250.000;682.147;432.147;172,86%;109.246;14,42%;62,79%;83;0,75;22,25%;5.211;25
XGB-W5H10;250.000;681.909;431.909;172,76%;77.940;11,14%;63,40%;82;0,74;22,24%;5.240;25
XGB-W10H8;250.000;681.769;431.769;172,71%;66.536;9,77%;62,39%;78;0,78;22,24%;5.567;25
MLP (128,);250.000;653.224;403.224;161,29%;100.212;14,38%;61,40%;75;0,78;21,30%;5.345;25
XGB-W10H10;250.000;645.429;395.429;158,17%;93.170;13,46%;62,56%;79;0,76;20,90%;4.997;25
XGB-W5H5;250.000;604.998;354.998;142,00%;52.070;8,69%;62,65%;67;0,76;19,35%;5.285;25
XGB-W15H12;250.000;564.851;314.851;125,94%;70.662;12,08%;62,03%;57;0,75;17,72%;5.505;25
MLP (64,);250.000;546.547;296.547;118,62%;73.130;12,42%;60,84%;51;0,76;17,03%;5.791;25
MLP (64,32);250.000;543.946;293.946;117,58%;52.355;9,50%;61,73%;61;0,77;16,91%;4.834;25
MLP (128,64);250.000;490.846;240.846;96,34%;38.651;9,78%;62,06%;57;0,76;14,52%;4.230;25
XGB-W15H5;250.000;434.102;184.102;73,64%;40.728;10,74%;61,05%;38;0,76;11,68%;4.904;25
XGB-W10H5;250.000;402.230;152.230;60,89%;67.754;16,91%;60,01%;28;0,76;9,99%;5.516;25
MLP (32,);250.000;381.924;131.924;52,77%;27.684;8,44%;61,36%;43;0,75;8,89%;3.069;25
XGB-W15H8;250.000;380.300;130.300;52,12%;47.427;13,51%;59,97%;26;0,76;8,76%;5.014;25
XGB-W15H10;250.000;375.924;125.924;50,37%;48.133;13,84%;60,10%;25;0,75;8,51%;4.995;25
