Capital inicial $;Capital final $;Capital ganado $;Max DD $;ROI_%;MaxDD_%;Winrate_%;Expectancy $;Payoff ratio;CAGR_%;Trades;Símbolos;Variable Objetivo
250000.0;721364.5040771505;471364.5040771505;96377.0554427586;188.5458016308602;12.851918820752633;62.64742122865693;82.97210070007935;0.7560374071187068;23.6249118831132;5681;25;XGB-W5H8
250000.0;711025.8857334576;461025.88573345763;116913.62121638574;184.41035429338305;14.78067317364917;61.97204045211184;68.56423047790862;0.7431147300158222;23.268259788366798;6724;25;XGB-W5H15
250000.0;710819.2068550762;460819.20685507625;82401.30145169736;184.3276827420305;11.096421655132563;63.31616889804326;94.91641747787354;0.7515581357869829;23.261087796344924;4855;25;XGB-W15H15
250000.0;705553.7448160897;455553.74481608975;99435.83790876553;182.2214979264359;12.975074977766457;62.889879057924894;96.65897407513052;0.7739315698306943;23.077805244243454;4713;25;XGB-W10H15
250000.0;692012.6255785588;442012.6255785588;91720.56801304955;176.8050502314235;12.239770001077261;62.29193341869398;70.7446583832521;0.7460296731165285;22.60138424732503;6248;25;XGB-W5H12
250000.0;682146.5300639278;432146.53006392776;109246.31413290137;172.85861202557112;14.4228937346984;62.79025139128767;82.92967377929892;0.7475759367376179;22.249544779222763;5211;25;XGB-W10H12
250000.0;681908.5073304703;431908.50733047025;77940.40740370867;172.7634029321881;11.139114652515165;63.39694656488549;82.4252876584866;0.7442603617293111;22.24100638929265;5240;25;XGB-W5H10
250000.0;681768.711895511;431768.711895511;66535.74766242958;172.7074847582044;9.768304340876117;62.385485899047964;77.55859743048526;0.7795805165357684;22.23599051361509;5567;25;XGB-W10H8
250000.0;653224.3185092611;403224.3185092611;100211.52807059756;161.28972740370446;14.375069476096183;61.40318054256314;75.43953573606372;0.7767263638266098;21.296750157109166;5345;25;MLP (128,)
250000.0;645429.0214603962;395429.02146039624;93169.54568950529;158.1716085841585;13.461492457278151;62.55753452071243;79.13328426263666;0.7570089116104493;20.903290832984055;4997;25;XGB-W10H10
250000.0;604998.1555609881;354998.1555609881;52069.819986569346;141.99926222439524;8.68862621270232;62.64900662251656;67.17089036158718;0.7552311447283772;19.348065964807137;5285;25;XGB-W5H5
250000.0;564851.428477151;314851.42847715097;70662.4826701259;125.9405713908604;12.079265035123452;62.0345140781108;57.19371997768407;0.7479812208570904;17.719209449029538;5505;25;XGB-W15H12
250000.0;546547.254633259;296547.254633259;73130.24479957286;118.61890185330361;12.418011800473403;60.83577965809014;51.20829815804848;0.7607669333800405;17.026279657436973;5791;25;MLP (64,)
250000.0;543946.1941932102;293946.1941932102;52355.47296737728;117.5784776772841;9.504539476195525;61.72941663218866;60.80806665147096;0.7664591478197672;16.91411173324566;4834;25;MLP (64,32)
250000.0;490845.66975351353;240845.66975351353;38651.06922806206;96.3382679014054;9.781349530756435;62.056737588652474;56.937510580026824;0.7648956457151194;14.524740798409997;4230;25;MLP (128,64)
250000.0;434102.0574331287;184102.0574331287;40728.256757645286;73.64082297325147;10.741251196905852;61.05220228384992;37.54120257608659;0.7552111666441722;11.676860426356406;4904;25;XGB-W15H5
250000.0;402230.2148565984;152230.2148565984;67754.4425828096;60.89208594263937;16.911574085444954;60.00725163161711;27.59793597835359;0.7561854950105434;9.985448185713208;5516;25;XGB-W10H5
250000.0;381923.5500811819;131923.55008118192;27684.34087668016;52.769420032472766;8.435167661849855;61.35549038774846;42.985842320359005;0.7543677887543104;8.891671628514985;3069;25;MLP (32,)
250000.0;380299.6088537748;130299.60885377479;47427.207707982685;52.11984354150991;13.507551317385158;59.97207818109294;25.987157729113456;0.7599724936099856;8.758229997358736;5014;25;XGB-W15H8
250000.0;375923.77593420335;125923.77593420335;48132.630535157106;50.369510373681344;13.835720752171502;60.10010010010009;25.209965151992687;0.7539757688594094;8.506617561458164;4995;25;XGB-W15H10
