Symbol_group;2020;2021;2022;2023;2024
Otros;10.205468469735715;5.376823314749073;6.702720178772544;5.045934526763771;1.4113238923661722
AMAT;6.01447848953408;6.967868718963587;-2.324701278680636;2.5829335533224422;-1.0440748722378017
MS;5.598493048660458;1.785993742428503;1.1361286398881734;0.5393382595017032;0.5991242599166017
LRCX;3.020374973677749;2.3164148525090145;0.6456728838512229;2.167905880697317;0.2848009858590276
CDNS;1.9972655910013424;1.5678236818475522;0.26014075241251394;1.8323446664144105;1.6519886128633334
COST;2.5990102963098716;2.2700169522376745;-0.9798906620169446;1.776499164111708;1.5784731815779454
MSFT;5.5277033980452455;1.436776963875402;-0.8183349447164519;0.02950840641085721;0.3681464090493639
INTU;2.0280331566234677;4.276914498881303;-2.144404342362472;2.2332179081366013;-0.09048100388026473
KLAC;-0.13907364216522008;1.2706305380817002;0.664124402632018;1.4998873601998621;1.966514853797004
BKNG;3.0143263989585627;0.42431574508680836;-0.9176108301234492;0.8193982691296376;1.1406096844023494
NVDA;0.11865786101463391;2.658145555916911;-0.5205885418822115;0.21337266462710933;1.9540756293555142
