Modelo;ROI_2020%;ROI_2021%;ROI_2022%;ROI_2023%;ROI_2024%;ROI_Total%
ARIMA (1,1,0);27.592749953703816;2.3903318572712946;3.978995167475155;1.0614593845523723;0.2895582174320036;37.68031409790553
XGB W15H10;16.274437684635796;16.465624649421553;-7.455198979831085;13.770262247935413;5.462240194704749;50.36951037368134
MLP (32,);16.35633446734792;10.514103839695075;-1.8123184854563226;12.396588422483438;7.651121263416844;52.769420032472766
XGB W10H5;28.63613223575165;20.348706635480408;-10.963494191520237;9.498885493852816;6.5988389851563705;60.89208594263936
XGB W15H5;18.229673596734088;23.27200875187563;-2.126691684904467;17.55964037251241;3.5471987510945344;73.64082297325149
MLP (128,64);35.011684712725575;13.310779769279426;-2.0664032860509054;19.55414120541711;9.6140039168906;96.33826790140542
MLP (64,32);24.72553104745676;25.418998200506287;0.9610328663300636;25.392927199205985;9.867797645747093;117.57847767728408
MLP (64,);40.70717577740955;22.607995112167085;-2.338665213706925;23.42744540335562;5.127969260856635;118.61890185330361
XGB W5H5 (baseline);39.98473804139593;30.35172456457752;1.7032562577742751;18.74034065931539;9.820501633069252;141.99926222439524
XGB W10H10;43.869187465517385;25.87606668260891;4.54333426102511;27.41637617203639;7.022706497094107;158.1716085841585
MLP (128,);33.5586545947534;31.08788365772887;-1.2554057316277352;38.57630486460684;9.065009571168961;161.28972740370443
XGB W5H10;48.68023003564667;28.435675866010858;5.4436484322626235;26.795916054795622;6.836957096970125;172.76340293218811
XGB W10H15;47.87732840289685;27.80495052780586;6.29994218681445;26.86206801619238;10.732729501055163;182.2214979264359
XGB W15H15;57.18833271663557;28.498957473035354;2.3269644596573804;25.369335628298877;9.728089733851727;184.3276827420305
XGB W5H15;49.68831266869961;36.98034796290642;-2.677739986250728;30.806376144051097;8.957754831937484;184.41035429338305
